date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:18	56714/56714	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2008:29:16%20GMT	https://www.truyenartllc.com/	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/index.html	(from )
15:29:18	133/133	---M-Z	200	added ('OK')	text/plain	etag:W/%2201429e2c02d9ac64c8ef0354513797f9-gzip%22	https://www.truyenartllc.com/robots.txt		(from )
15:29:19	156930/156930	---M--	200	added ('OK')	image/jpeg	etag:%225dcd0fa0d56c2a6240f374d75a726cf3%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/a2.jpg	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/a2.jpg	(from https://www.truyenartllc.com/)
15:29:21	569545/569545	---M--	200	added ('OK')	image/png	etag:%220ce6c099605f0ce006d92dfec944b5d9%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/3a.png	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/3a.png	(from https://www.truyenartllc.com/)
15:29:21	78759/78759	---M--	200	added ('OK')	image/jpeg	etag:%225a1f2eb763d94d5a4f0e8de7ac4ad8a2%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/living-room-dining-room-2.jpg	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/living-room-dining-room-2.jpg	(from https://www.truyenartllc.com/)
15:29:21	1019169/1019169	---M--	200	added ('OK')	image/png	etag:%225c1fc27ea93a9d755880c8e8c3933c32%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/chot9.png	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/chot9.png	(from https://www.truyenartllc.com/)
15:29:21	69051/69051	---M--	200	added ('OK')	image/jpeg	etag:%2210d40b55a0f68de7692527a4fc8de334%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/02-1.jpg	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/02-1.jpg	(from https://www.truyenartllc.com/)
15:29:22	84519/84519	---M--	200	added ('OK')	image/jpeg	etag:%2277c705b8a24bd99075823ebbc327dc85%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/06.jpg	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/06.jpg	(from https://www.truyenartllc.com/)
15:29:23	70208/70208	---M--	200	added ('OK')	image/jpeg	etag:%22de396ba67c82d52d816a131366a16301%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/14-16-morris-road-014.jpg	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/14-16-morris-road-014.jpg	(from https://www.truyenartllc.com/)
15:29:23	449265/449265	---M--	200	added ('OK')	image/png	etag:%22e61b8b19c0275e03cd62d6f1f190be6f%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/kitchen-1.png	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/kitchen-1.png	(from https://www.truyenartllc.com/)
15:29:25	210877/210877	---M-Z	200	added ('OK')	text/css	etag:W/%22684c5fbe-337bd%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1749240201	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/cdn2.editmysite.com/css/sites05bc.css	(from https://www.truyenartllc.com/)
15:29:26	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%226843468a-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1749240201	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/cdn2.editmysite.com/css/old/fancyboxc6f1.css	(from https://www.truyenartllc.com/)
15:29:26	12720/12720	---M-Z	200	added ('OK')	text/css	etag:W/%2268434684-31b0%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1749240201	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/cdn2.editmysite.com/css/social-iconsbe9a.css	(from https://www.truyenartllc.com/)
15:29:28	852/852	---M-Z	200	added ('OK')	text/css	etag:%226846f9d9-354%22	http://cdn2.editmysite.com/fonts/Montserrat/font.css?2	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/cdn2.editmysite.com/fonts/Montserrat/fontc81e.css	(from https://www.truyenartllc.com/)
15:29:28	45361/45361	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2008:29:26%20GMT	https://www.truyenartllc.com/files/main_style.css?1749282397	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/files/main_styled28e.css	(from https://www.truyenartllc.com/)
15:29:28	833038/833038	---M--	200	added ('OK')	image/png	etag:%22ca7b13563c1f6359378a586e97cbbb9d%22	https://www.truyenartllc.com/uploads/1/5/3/1/153154201/exterior.png	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/www.truyenartllc.com/uploads/1/5/3/1/153154201/exterior.png	(from https://www.truyenartllc.com/)
15:29:30	2602/2602	---M-Z	200	added ('OK')	text/css	etag:%226846f9d9-a2a%22	http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2	D:/LapTrinhVScode/Job/Httrack_UI/wheelofnames/MaiTruyen/cdn2.editmysite.com/fonts/Open_Sans/fontc81e.css	(from https://www.truyenartllc.com/)
